var_0;var_1;var_2;var_3;var_4;var_5;var_6;var_7;var_8;var_9;var_10;var_11;var_12;var_13;var_14;var_15;var_16;var_17;var_18;var_19;var_20;var_21;var_22;var_23;var_24;err_ds_0;err_ds_1;err_ds_2;err_ds_3;err_ds_4;err_ds_5;err_ds_6;err_ds_7;err_ds_8;err_ds_9;err_ds_10;err_ds_11;err_ds_12;err_ds_13;err_ds_14;err_ds_15;err_ds_16;err_ds_17;err_ds_18;err_ds_19;err_ds_20;err_ds_21;err_ds_22;err_ds_23;err_ds_24;err_ds_25;err_ds_26;err_ds_27;err_ds_28;err_ds_29;err_mean;err_std
50;3;28;19;6;40;21;6;40;40;19;41;45;24;48;47;18;37;44;16;14;31;6;7;22;200652.41323605328;224125.37680502608;205738.34295283782;206806.8992432404;135844.93497550106;691232.891369959;425610.4838514956;204145.44238796333;241139.932164247;207969.67134492975;1012295.3019528488;232171.22293977122;450937.5208198669;44843.18569289358;429783.4834692649;299546.4345026885;524107.4322836761;398702.6522500394;241081.2284243737;248837.4851975243;494812.6019910727;255729.4818382536;251482.4399134608;269243.1868862769;151891.9462706487;755262.8990700453;226958.94788222655;289890.28612671327;465833.75875707093;304732.8278012475;336380.3570800406;199877.10890671884
46;10;32;39;9;50;10;27;6;33;21;7;15;37;27;30;13;23;13;35;12;51;36;30;48;1635.508981190954;1598.1668683770665;1986.001929144294;1682.5879286610011;1093.154667881956;5902.516346445411;3132.98419295777;1901.0494457073926;2951.2147247419084;1991.703173949585;7011.231796249771;7471.358560870181;8409.814231797143;851.4562117391127;7058.318038138682;7336.545419608611;8485.832659734408;4056.894836904365;4982.629251886248;2762.199380388787;5016.905611312357;2750.8860170598514;4364.074388676256;3219.635866492943;1282.5278764842358;6615.8425229230115;3992.747391656569;2424.390170353461;8001.275500942031;3108.1927774664887;4102.588225658062;2403.252988398394
36;36;12;44;9;7;13;17;32;27;40;41;7;23;18;8;38;14;27;40;11;22;21;24;12;12216.659946637454;13939.627887120792;16892.495188159726;12560.999668094912;7110.750304115135;46105.38425736324;25217.641310855808;15868.318658841976;25914.659761185754;16814.93937021138;33463.38269619595;37827.548567570855;37707.750481027964;4917.543037624504;38423.74719659085;39743.23205117827;55239.6150242354;22819.741275469725;29212.97243167221;24426.567091149314;39655.26425492674;20008.878010903984;24324.79072505245;14606.929937793835;10051.716816237502;46387.28189305447;17925.004732359073;17789.13629759523;27459.283355678574;20871.724401010237;25183.452887663778;12532.474991327184
49;50;45;35;25;49;30;31;5;13;38;30;47;31;42;42;24;40;35;3;16;50;12;4;30;1004725.4858778574;1000127.4068914776;1030963.0713054441;1000065.0481401094;501032.19577047875;225443.45952270002;947933.9668595452;948010.8677869536;412953.384564946;1027206.4624072176;270094.6947753341;333142.58355892636;181158.70675634142;21383.94958066111;266954.8442656563;326025.8520938594;258249.14208547684;370147.83503101923;368806.4110475839;413464.69128891715;366923.59957553237;596538.7981935429;548570.1617293138;1110444.5073268157;418952.45785664784;322078.23892843735;408745.9166343636;530591.9340997401;729490.1527257957;344434.73374716815;542822.0186809287;309112.3380874523
19;6;12;25;7;31;44;6;14;7;18;35;28;49;24;34;10;14;43;26;51;34;14;25;29;22529.673395884754;27653.23805461329;31500.066866857753;24197.284951704274;16055.708957684843;93835.11725233281;54408.68218709614;31800.903261771913;41683.2101201218;31864.5363945637;57123.96920829126;56966.54623600449;102211.37126595029;3704.363667576526;112159.7149776953;63445.51585378655;107399.341196318;66121.38092974307;45130.45712843418;36531.347885537565;85964.59394235298;41404.04841070809;41580.22472485425;52990.38233499006;19802.935336641698;93727.05113611033;52062.276990312756;53460.39672685838;63163.697351968636;38519.9750850556;52299.93372772737;27863.404375904232
18;28;47;33;9;46;22;10;33;22;23;3;37;37;31;42;13;50;4;18;44;51;22;31;14;26709.14449511547;42646.17889918873;43966.40298867007;27798.936270209022;7996.8071579380485;100977.13109753768;47475.5670040231;43877.65441578905;69052.91871101769;44555.93539876078;121840.23065025637;108248.36143316064;75288.53951501426;1000.0;116808.02670871616;173526.49513328366;89207.78531022472;59290.357409779346;50911.5783511079;58109.47459388711;123716.03631302484;79885.81268564025;66990.0655564774;53365.758128637746;8488.923139016964;133656.35662176242;48955.2544948747;36799.9360306704;261336.33254515508;57495.735425879844;72665.92454949398;52840.30785036187
28;49;34;51;40;51;31;41;47;49;42;52;45;33;9;30;6;27;14;36;43;28;32;30;28;90714.62573118493;96374.63937661254;117532.834964484;93140.30018295179;71726.94225884907;398625.0929275204;234604.67366841008;112054.07153755591;221401.96417724976;115375.0743151677;426161.80888086784;487484.9136033725;406658.56876870623;84007.18892809942;371127.5809112392;440262.936432766;494953.4920634655;192243.8209301716;301080.9234188935;207828.5284158946;320234.2502383643;127900.70765866588;229374.34568545537;97884.60391923835;79451.06666070546;489080.79454129864;131447.5351076498;138589.6127414854;216540.30125184022;193691.08640099326;232918.47618997193;140592.17319925243
18;33;29;13;12;17;43;8;44;11;21;39;13;11;44;40;41;19;50;27;15;3;30;22;28;2042304.1362094677;2201174.418206511;2289867.4751121392;2063730.8476826937;1354293.7363865364;4369469.238254849;2684398.5103265694;2100786.992971596;2092458.7739366405;2215560.0878636707;2010501.87207807;3256712.8650981113;2535372.9123280295;1533455.8277586317;2270194.359518735;3356280.2466403283;3326570.749232395;2551419.616832071;1487842.5118947527;1980411.4302749916;2957850.186827052;2237190.7920807046;2244609.4875396835;2326752.490421337;1187341.1420102236;4274343.995434139;2600900.0402395558;2482229.591736393;3679392.4714726945;2366643.335058566;2469335.3380475715;751255.5012149479
44;52;33;10;7;42;20;30;40;47;52;16;29;46;50;39;40;37;46;15;47;48;34;12;37;22629.66332795014;27261.861534493888;32165.903909185294;23912.732534316212;15786.842459467298;92521.59893844367;53808.00941542989;31147.905079419634;41033.09808610363;32013.07373482307;57275.79263665271;56121.59928436926;103903.55673694183;3728.465410934475;112521.42766060965;63308.75923510965;105403.09266588792;65662.38987801413;45569.5465992135;36650.87410592357;84944.73669301966;42235.805998734315;41522.95337113015;51860.56652403088;19867.11310195885;91672.36239738313;51329.910212678784;52461.8216790191;63682.763449255195;37910.7511172222;51997.16592592406;27674.19272933997
4;9;51;14;51;33;51;5;32;20;45;11;6;36;12;41;17;13;17;42;34;12;36;10;45;343.5809020154044;244.13001034494954;310.6269053939721;347.6517712798831;370.41448447714413;745.2884303549616;484.91114615492637;296.89893461165127;586.9643454132789;314.6971480610511;406.62102681722524;732.593147743199;649.2184630358776;371.13797523398614;570.6244159017098;420.94300085333754;945.1820082693066;428.25610707997276;347.7395002970588;453.12932280392897;1078.4949192678746;409.0155835379579;285.422069288939;395.0040498027295;214.43754826006378;1359.4957116458497;274.8353481758596;447.9709197190037;412.8183907694272;322.3610496037232;485.6821545404752;255.45263477123862
